"gene_short_name"	"tracking_id"
"1"	"ACTB"	"ENSG00000075624"
"2"	"ARF1"	"ENSG00000143761"
"3"	"ATF4"	"ENSG00000128272"
"4"	"ATP5A1"	"ENSG00000152234"
"5"	"ATP5H"	"ENSG00000167863"
"6"	"BRK1"	"ENSG00000254999"
"7"	"BTF3"	"ENSG00000145741"
"8"	"C19orf43"	"ENSG00000123144"
"9"	"CCNI"	"ENSG00000118816"
"10"	"CDC37"	"ENSG00000105401"
"11"	"CHCHD2"	"ENSG00000106153"
"12"	"CNBP"	"ENSG00000169714"
"13"	"COX6B1"	"ENSG00000126267"
"14"	"COX8A"	"ENSG00000176340"
"15"	"CSDE1"	"ENSG00000009307"
"16"	"DAD1"	"ENSG00000129562"
"17"	"DDX5"	"ENSG00000108654"
"18"	"EDF1"	"ENSG00000107223"
"19"	"EEF1B2"	"ENSG00000114942"
"20"	"EEF2"	"ENSG00000167658"
"21"	"EIF1"	"ENSG00000173812"
"22"	"EIF3G"	"ENSG00000130811"
"23"	"EIF3I"	"ENSG00000084623"
"24"	"EIF4B"	"ENSG00000063046"
"25"	"EIF4H"	"ENSG00000106682"
"26"	"FAU"	"ENSG00000149806"
"27"	"FKBP8"	"ENSG00000105701"
"28"	"GAPDH"	"ENSG00000111640"
"29"	"GNB1"	"ENSG00000078369"
"30"	"H3F3B"	"ENSG00000132475"
"31"	"HIGD2A"	"ENSG00000146066"
"32"	"HNRNPK"	"ENSG00000165119"
"33"	"HSP90AA1"	"ENSG00000080824"
"34"	"HSP90AB1"	"ENSG00000096384"
"35"	"HSPA8"	"ENSG00000109971"
"36"	"MRFAP1"	"ENSG00000179010"
"37"	"MT-ATP6"	"ENSG00000198899"
"38"	"MT-ATP8"	"ENSG00000228253"
"39"	"MT-CO1"	"ENSG00000198804"
"40"	"MT-CO2"	"ENSG00000198712"
"41"	"MT-CO3"	"ENSG00000198938"
"42"	"MT-CYB"	"ENSG00000198727"
"43"	"MT-ND1"	"ENSG00000198888"
"44"	"MT-ND2"	"ENSG00000198763"
"45"	"MT-ND3"	"ENSG00000198840"
"46"	"MT-ND4"	"ENSG00000198886"
"47"	"MT-ND4L"	"ENSG00000212907"
"48"	"MT-ND5"	"ENSG00000198786"
"49"	"MT-ND6"	"ENSG00000198695"
"50"	"MT-RNR1"	"ENSG00000211459"
"51"	"MT-RNR2"	"ENSG00000210082"
"52"	"MT-TA"	"ENSG00000210127"
"53"	"MT-TC"	"ENSG00000210140"
"54"	"MT-TE"	"ENSG00000210194"
"55"	"MT-TF"	"ENSG00000210049"
"56"	"MT-TG"	"ENSG00000210164"
"57"	"MT-TH"	"ENSG00000210176"
"58"	"MT-TI"	"ENSG00000210100"
"59"	"MT-TK"	"ENSG00000210156"
"60"	"MT-TL1"	"ENSG00000209082"
